date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2019-01-02,6566997,234262829,35.95,35.5,35.5,-0.1,2572,1101,35.75
2019-01-03,9160859,323494000,35.6,35.1,35.15,-0.35,3546,1101,35.5
2019-01-04,10692409,376905510,35.65,34.9,35.45,0.3,4175,1101,35.0
2019-01-07,14906206,537441416,36.2,35.8,36.0,0.55,5611,1101,35.85
2019-01-08,10987241,393334841,35.95,35.55,35.55,-0.45,3621,1101,35.9
2019-01-09,20974178,756069459,36.35,35.9,36.35,0.8,5711,1101,35.95
2019-01-10,11530577,422174797,36.95,36.4,36.55,0.2,4201,1101,36.55
2019-01-11,11923354,434594562,36.7,36.2,36.4,-0.15,4868,1101,36.7
2019-01-14,18788577,670460088,36.45,35.35,35.6,-0.8,7189,1101,36.4
2019-01-15,13837986,494376678,36.0,35.6,35.7,0.1,4206,1101,35.8
2019-01-16,12432470,443106653,35.8,35.55,35.6,-0.1,3696,1101,35.7
2019-01-17,11657174,413726229,35.8,35.4,35.45,-0.15,4988,1101,35.6
2019-01-18,10088263,361901018,36.0,35.55,36.0,0.55,3421,1101,35.8
2019-01-21,9974837,360754727,36.3,35.85,36.25,0.25,3292,1101,36.2
2019-01-22,6060492,219490320,36.3,36.05,36.25,0.0,1807,1101,36.25
2019-01-23,6845545,248862420,36.45,36.05,36.45,0.2,2960,1101,36.2
2019-01-24,7992255,290662915,36.55,36.15,36.4,-0.05,3389,1101,36.45
2019-01-25,11808482,431875477,36.75,36.3,36.6,0.2,4417,1101,36.4
2019-01-28,13642330,503258210,37.0,36.7,37.0,0.4,4446,1101,36.75
2019-01-29,10057975,371981552,37.1,36.7,37.1,0.1,3560,1101,37.0
2019-01-30,12214164,454594356,37.5,36.95,37.35,0.25,4445,1101,37.2
2019-02-11,15234985,573681636,37.9,37.35,37.65,0.3,6467,1101,37.9
2019-02-12,8462833,318734865,37.85,37.35,37.7,0.05,4180,1101,37.7
2019-02-13,13717841,517100918,37.95,37.55,37.65,-0.05,4233,1101,37.7
2019-02-14,14649338,552028462,38.2,37.4,37.5,-0.15,5475,1101,37.55
2019-02-15,13640757,507796920,37.7,36.95,37.45,-0.05,5265,1101,37.7
2019-02-18,13718603,509282611,37.55,36.85,36.9,-0.55,4864,1101,37.4
2019-02-19,16886102,631878592,37.6,36.95,37.55,0.65,6596,1101,36.95
2019-02-20,16550069,626947918,38.2,37.65,37.85,0.3,5588,1101,37.8
2019-02-21,38051399,1477038418,39.45,38.05,39.3,1.45,10420,1101,38.15
2019-02-22,14006912,542954993,39.15,38.65,38.7,-0.6,5206,1101,39.15
2019-02-25,16346695,629690625,39.0,38.3,38.45,-0.25,5443,1101,39.0
2019-02-26,17253431,660458397,38.5,38.2,38.2,-0.25,5195,1101,38.25
2019-02-27,14384705,551092495,38.45,38.15,38.4,0.2,4975,1101,38.2
2019-03-04,13222125,504795802,38.45,38.0,38.2,-0.2,4931,1101,38.4
2019-03-05,8653767,329400652,38.3,37.95,38.0,-0.2,3241,1101,38.1
2019-03-06,7744295,294867200,38.3,37.95,38.25,0.25,2685,1101,38.0
2019-03-07,12281543,468825441,38.45,38.0,38.0,-0.25,4394,1101,38.1
2019-03-08,8457271,320379620,38.1,37.75,38.0,0.0,3278,1101,38.0
2019-03-11,10369097,393741686,38.15,37.85,37.85,-0.15,4226,1101,38.0
2019-03-12,14169399,543464281,38.65,37.85,38.4,0.55,6163,1101,37.9
2019-03-13,12506692,481239912,38.6,38.35,38.5,0.1,5893,1101,38.45
2019-03-14,11871203,457438336,38.6,38.45,38.6,0.1,4403,1101,38.5
2019-03-15,16827855,650324201,38.8,38.55,38.65,0.05,4655,1101,38.7
2019-03-18,42438195,1608603260,38.85,37.6,37.8,-0.85,13627,1101,38.75
2019-03-19,15489346,589255644,38.3,37.85,38.1,0.3,6814,1101,37.9
2019-03-20,13655599,520075692,38.25,38.0,38.05,-0.05,4811,1101,38.1
2019-03-21,20677619,800039881,38.9,38.05,38.85,0.8,8130,1101,38.05
2019-03-22,14471404,560972045,39.25,38.5,38.7,-0.15,6235,1101,38.95
2019-03-25,75535139,3040141795,40.8,39.85,40.5,1.8,22898,1101,40.0
2019-03-26,29230311,1180686189,40.7,40.2,40.45,-0.05,11820,1101,40.55
2019-03-27,25862532,1051421138,40.9,40.45,40.55,0.1,8768,1101,40.6
2019-03-28,34149477,1405158957,41.7,40.75,41.0,0.45,12094,1101,40.75
2019-03-29,24017404,991039418,41.4,41.1,41.25,0.25,6588,1101,41.4
2019-04-01,28261025,1171619600,41.8,41.25,41.35,0.1,10132,1101,41.55
2019-04-02,23467533,974072590,41.7,41.3,41.4,0.05,7762,1101,41.65
