date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2023-01-03,11654098,390507579,33.75,33.3,33.5,-0.15,5607,1101,33.6
2023-01-04,10493097,352240731,33.75,33.5,33.5,0.0,4256,1101,33.65
2023-01-05,27376555,942670410,34.7,34.05,34.45,0.95,12553,1101,34.15
2023-01-06,13688284,469388543,34.6,34.1,34.25,-0.2,6614,1101,34.45
2023-01-09,15635866,539378196,34.65,34.35,34.6,0.35,7003,1101,34.6
2023-01-10,11462979,395644559,34.7,34.35,34.6,0.0,5577,1101,34.65
2023-01-11,15386976,534026570,34.85,34.55,34.7,0.1,7444,1101,34.7
2023-01-12,26778048,944788978,35.5,34.7,35.4,0.7,14584,1101,34.75
2023-01-13,41631836,1502375700,36.3,35.55,36.15,0.75,22477,1101,35.55
2023-01-16,34494589,1259264414,36.9,36.15,36.5,0.35,19191,1101,36.55
2023-01-17,21499697,775770365,36.45,35.9,36.0,-0.5,12469,1101,36.45
2023-01-30,39966741,1472016568,37.25,36.5,36.95,0.95,15895,1101,37.2
2023-01-31,23934138,873618656,36.9,36.25,36.25,-0.7,12712,1101,36.9
2023-02-01,15215064,557059198,36.75,36.3,36.75,0.5,8229,1101,36.45
2023-02-02,14814809,544700449,36.9,36.55,36.8,0.05,8361,1101,36.85
2023-02-03,16800332,612061416,36.75,36.3,36.45,-0.35,8792,1101,36.75
2023-02-06,18914974,684900126,36.45,36.0,36.15,-0.3,10168,1101,36.4
2023-02-07,12818745,468441190,36.65,36.2,36.65,0.5,6835,1101,36.2
2023-02-08,12201334,447257491,36.8,36.5,36.75,0.1,6313,1101,36.55
2023-02-09,11379279,417204418,36.8,36.55,36.6,-0.15,5317,1101,36.7
2023-02-10,15578283,573100181,37.0,36.45,36.85,0.25,7463,1101,36.55
2023-02-13,14617556,540767586,37.15,36.7,37.0,0.15,7689,1101,36.9
2023-02-14,23984629,897989071,37.8,37.15,37.25,0.25,11025,1101,37.2
2023-02-15,19116424,719132693,37.85,37.3,37.55,0.3,11069,1101,37.35
