date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2024-01-02,14937049,518751792,34.85,34.6,34.7,-0.15,4172,1101,34.85
2024-01-03,12793849,438994226,34.75,34.15,34.2,-0.5,8186,1101,34.5
2024-01-04,6473946,221350197,34.3,34.15,34.2,0.0,3693,1101,34.2
2024-01-05,4691751,160866951,34.35,34.2,34.35,0.15,2609,1101,34.2
2024-01-08,5581614,191844472,34.55,34.25,34.25,-0.1,3387,1101,34.4
2024-01-09,6279275,214297776,34.3,34.05,34.05,-0.2,4002,1101,34.3
2024-01-10,11892969,401811477,34.05,33.7,33.7,-0.35,6610,1101,34.05
2024-01-11,6666115,224762008,33.8,33.6,33.7,0.0,3871,1101,33.7
2024-01-12,5248129,176751295,33.8,33.6,33.75,0.05,3233,1101,33.7
2024-01-15,7160773,241194939,34.0,33.6,33.65,-0.1,6110,1101,34.0
2024-01-16,19050849,629043207,33.5,32.9,32.9,-0.75,13714,1101,33.45
2024-01-17,28856602,931822461,32.7,32.15,32.2,-0.7,17199,1101,32.55
2024-01-18,14999489,481330210,32.35,32.0,32.05,-0.15,10365,1101,32.2
2024-01-19,14495609,464615470,32.4,31.8,32.4,0.35,8208,1101,32.0
2024-01-22,9350803,303041146,32.65,32.3,32.3,-0.1,6338,1101,32.4
2024-01-23,7306624,238083658,32.7,32.3,32.7,0.4,4519,1101,32.35
2024-01-24,6431998,210066607,32.8,32.6,32.6,-0.1,4409,1101,32.75
2024-01-25,5589171,182470899,32.7,32.5,32.7,0.1,3583,1101,32.6
2024-01-26,8723219,284872138,32.8,32.55,32.6,-0.1,4196,1101,32.6
2024-01-29,13852487,449193124,32.6,32.35,32.35,-0.25,6691,1101,32.55
2024-01-30,17168606,551418731,32.55,32.0,32.0,-0.35,10404,1101,32.4
2024-01-31,19126814,610391783,32.1,31.8,31.9,-0.1,8350,1101,32.0
2024-02-01,10337642,333241168,32.45,31.95,32.45,0.55,5202,1101,31.95
2024-02-02,8038010,259604058,32.55,32.2,32.25,-0.2,5102,1101,32.45
2024-02-05,13528225,433558416,32.2,31.9,32.15,-0.1,6995,1101,32.1
2024-02-15,23944775,764457030,32.1,31.8,32.0,-0.15,14862,1101,32.0
2024-02-16,18486704,588821996,32.0,31.8,31.9,-0.1,15586,1101,31.9
2024-02-19,18522505,601984543,32.8,32.0,32.8,0.9,10165,1101,32.05
2024-02-20,8808852,287231225,32.9,32.5,32.65,-0.15,8627,1101,32.8
2024-02-21,9410264,305655817,32.7,32.4,32.5,-0.15,6542,1101,32.7
2024-02-22,6529709,211959096,32.6,32.35,32.55,0.05,4572,1101,32.5
2024-02-23,8900378,288902201,32.65,32.4,32.4,-0.15,5373,1101,32.6
2024-02-26,10604126,342286977,32.5,32.05,32.15,-0.25,7498,1101,32.4
2024-02-27,17159173,548113632,32.15,31.85,31.85,-0.3,9874,1101,32.05
2024-02-29,29399423,946064596,32.55,32.05,32.1,0.25,10984,1101,32.4
2024-03-01,16170103,518113513,32.25,31.95,32.05,-0.05,9899,1101,32.15
2024-03-04,12399827,398050660,32.3,32.0,32.05,0.0,7023,1101,32.05
2024-03-05,11197573,359162999,32.25,32.0,32.0,-0.05,6252,1101,32.1
2024-03-06,17812634,569391934,32.1,31.9,32.0,0.0,10949,1101,32.0
2024-03-07,13784643,440448016,32.1,31.85,32.0,0.0,8424,1101,32.0
2024-03-08,16009442,511541865,32.15,31.85,31.85,-0.15,10838,1101,32.0
2024-03-11,17483436,554623839,31.85,31.6,31.8,-0.05,11239,1101,31.85
2024-03-12,10205021,325664261,32.0,31.75,32.0,0.2,5896,1101,31.8
2024-03-13,15369093,488373439,31.95,31.7,31.7,-0.3,9893,1101,31.85
2024-03-14,12087491,384993688,32.0,31.7,32.0,0.3,6456,1101,31.7
2024-03-15,26975719,862458750,32.15,31.85,31.95,-0.05,6816,1101,31.9
2024-03-18,15866068,503080222,31.95,31.6,31.7,-0.25,11037,1101,31.95
2024-03-19,24394412,767624499,31.7,31.4,31.4,-0.3,16282,1101,31.65
2024-03-20,30649972,949004451,31.45,30.8,30.9,-0.5,23135,1101,31.4
2024-03-21,22155727,698668194,31.8,31.25,31.5,0.6,10255,1101,31.4
2024-03-22,18817982,586216523,31.45,31.05,31.15,-0.35,10521,1101,31.25
2024-03-25,10249931,318885322,31.25,31.0,31.1,-0.05,6526,1101,31.1
2024-03-26,11622826,365711750,31.6,31.05,31.55,0.45,7234,1101,31.1
2024-03-27,12005697,380286027,31.9,31.35,31.7,0.15,6627,1101,31.35
2024-03-28,12759528,405142634,31.9,31.5,31.7,0.0,5308,1101,31.7
2024-03-29,19741078,629536579,32.15,31.7,32.15,0.45,6587,1101,31.7
2024-04-01,12424889,399420695,32.25,32.05,32.15,0.0,4760,1101,32.25
2024-04-02,10353387,331618885,32.2,31.9,31.95,-0.2,4689,1101,32.15
2024-04-03,37583102,1219897514,33.6,32.0,32.0,0.05,15379,1101,32.8
2024-04-08,18056928,582674759,32.7,32.15,32.3,0.3,8460,1101,32.2
2024-04-09,15502444,500788849,32.5,32.05,32.45,0.15,7106,1101,32.05
2024-04-10,23247115,761805523,32.95,32.45,32.7,0.25,10558,1101,32.5
2024-04-11,11611443,376946447,32.55,32.25,32.4,-0.3,6298,1101,32.5
2024-04-12,17667908,565515135,32.2,31.8,32.2,-0.2,8720,1101,32.05
2024-04-15,26018655,850148921,33.2,32.3,32.35,0.15,11225,1101,32.35
2024-04-16,44774881,1467851005,33.3,32.4,32.45,0.1,20764,1101,32.6
