date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2024-01-02,27997826,16549619798,593.0,589.0,593.0,0.0,20667,2330,590.0
2024-01-03,40134497,23267025945,585.0,576.0,578.0,-15.0,56916,2330,584.0
2024-01-04,18063758,10466284102,581.0,577.0,580.0,2.0,15010,2330,580.0
2024-01-05,22008878,12685460114,580.0,574.0,576.0,-4.0,28660,2330,578.0
2024-01-08,19270119,11232942053,585.0,579.0,583.0,7.0,19950,2330,582.0
2024-01-09,23718766,13909252422,589.0,583.0,586.0,3.0,23975,2330,588.0
2024-01-10,13708117,8006229126,586.0,580.0,584.0,-2.0,16104,2330,581.0
2024-01-11,27842729,16323168586,589.0,583.0,586.0,2.0,20754,2330,586.0
2024-01-12,17636558,10304253419,588.0,581.0,584.0,-2.0,15765,2330,581.0
2024-01-15,21900687,12873769022,590.0,585.0,586.0,2.0,21886,2330,590.0
2024-01-16,28889681,16817280777,588.0,579.0,580.0,-6.0,21938,2330,581.0
2024-01-17,46857735,27229863028,584.0,578.0,581.0,1.0,28790,2330,583.0
2024-01-18,36746623,21575062923,589.0,585.0,588.0,7.0,28621,2330,586.0
2024-01-19,176166037,109423769320,627.0,614.0,626.0,38.0,207364,2330,625.0
2024-01-22,70829523,44436449501,633.0,623.0,626.0,0.0,56376,2330,633.0
2024-01-23,45761889,28681559251,629.0,622.0,628.0,2.0,34729,2330,629.0
2024-01-24,29905121,18779693566,630.0,624.0,627.0,-1.0,27062,2330,628.0
2024-01-25,59214638,37803501446,642.0,633.0,642.0,15.0,85006,2330,635.0
2024-01-26,44103850,28392638215,646.0,639.0,644.0,2.0,41691,2330,644.0
2024-01-29,29828008,19268444564,648.0,644.0,648.0,4.0,32347,2330,646.0
2024-01-30,40398877,26028211247,647.0,642.0,642.0,-6.0,35002,2330,642.0
2024-01-31,47554701,29978630024,637.0,626.0,628.0,-14.0,61811,2330,634.0
2024-02-01,46924943,29237425981,628.0,619.0,628.0,0.0,51671,2330,625.0
2024-02-02,27797894,17563853315,635.0,628.0,635.0,7.0,22257,2330,633.0
2024-02-05,48037344,30931242935,647.0,638.0,646.0,11.0,51065,2330,645.0
2024-02-15,132263803,92592826951,709.0,693.0,697.0,51.0,130374,2330,709.0
2024-02-16,48963167,33742716965,699.0,683.0,683.0,-14.0,56882,2330,697.0
2024-02-19,36366837,24665534552,682.0,674.0,678.0,-5.0,35240,2330,674.0
2024-02-20,31403730,21494427969,688.0,675.0,687.0,9.0,32847,2330,675.0
2024-02-21,31980543,21748906940,683.0,678.0,681.0,-6.0,36004,2330,678.0
2024-02-22,34269392,23664176835,695.0,685.0,692.0,11.0,36998,2330,695.0
2024-02-23,48404478,33847447281,703.0,696.0,697.0,5.0,48018,2330,701.0
2024-02-26,29976379,20917136411,700.0,695.0,698.0,1.0,25850,2330,700.0
2024-02-27,35389548,24647159479,701.0,691.0,698.0,0.0,31145,2330,700.0
2024-02-29,59337072,40973093720,698.0,688.0,690.0,-8.0,39066,2330,691.0
2024-03-01,24167721,16699995060,697.0,688.0,689.0,-1.0,26282,2330,697.0
2024-03-04,97210112,69868348694,725.0,711.0,725.0,36.0,125799,2330,714.0
2024-03-05,73299411,53751887376,738.0,728.0,730.0,5.0,69851,2330,735.0
2024-03-06,52464833,38203868985,738.0,717.0,735.0,5.0,49897,2330,718.0
2024-03-07,80382406,61221034146,769.0,754.0,760.0,25.0,96348,2330,755.0
2024-03-08,98069174,77295575097,796.0,772.0,784.0,24.0,110758,2330,795.0
2024-03-11,73436931,56348050108,778.0,761.0,766.0,-18.0,107368,2330,768.0
2024-03-12,63336798,48288411581,771.0,754.0,770.0,4.0,56154,2330,757.0
2024-03-13,43130896,33672441212,785.0,777.0,779.0,9.0,37744,2330,785.0
2024-03-14,48964017,38196293503,785.0,770.0,784.0,5.0,35137,2330,779.0
2024-03-15,80580846,61451780435,777.0,753.0,753.0,-31.0,95014,2330,771.0
2024-03-18,46006400,34967084535,765.0,754.0,764.0,0.0,40073,2330,754.0
2024-03-19,32078900,24399917859,765.0,755.0,762.0,-2.0,31208,2330,758.0
2024-03-20,48788389,37117091830,769.0,752.0,758.0,-4.0,46702,2330,764.0
2024-03-21,47759094,37203673872,784.0,772.0,784.0,26.0,48467,2330,773.0
2024-03-22,32629749,25521571701,789.0,775.0,785.0,1.0,33054,2330,788.0
2024-03-25,21223414,16612693369,788.0,779.0,780.0,-5.0,24794,2330,783.0
2024-03-26,43103294,33847261033,792.0,776.0,782.0,2.0,35046,2330,788.0
2024-03-27,19732209,15418346943,785.0,779.0,779.0,-3.0,21006,2330,785.0
2024-03-28,28393398,21889883699,776.0,768.0,769.0,-10.0,39848,2330,774.0
2024-03-29,20212820,15682908766,781.0,768.0,779.0,10.0,18110,2330,769.0
2024-04-01,22348250,17301753062,783.0,769.0,770.0,-9.0,28192,2330,783.0
2024-04-02,42219075,33230356267,790.0,783.0,790.0,20.0,41138,2330,784.0
2024-04-03,32909892,25719094412,785.0,778.0,780.0,-10.0,36003,2330,783.0
2024-04-08,40567580,31925988285,792.0,783.0,783.0,3.0,29304,2330,789.0
2024-04-09,61642573,49946542596,820.0,792.0,819.0,36.0,89138,2330,795.0
2024-04-10,31109466,25358780514,819.0,810.0,815.0,-4.0,39131,2330,815.0
2024-04-11,27772972,22655121636,820.0,811.0,820.0,5.0,34739,2330,811.0
2024-04-12,32473155,26663806808,826.0,817.0,818.0,-2.0,38091,2330,823.0
2024-04-15,41251141,33300372097,812.0,803.0,806.0,-12.0,60451,2330,804.0
2024-04-16,54120813,42833069476,803.0,785.0,788.0,-18.0,127956,2330,802.0
2024-04-17,36616351,29324186091,808.0,793.0,804.0,16.0,43890,2330,798.0
