date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2021-01-04,13744417,594543948,43.5,43.05,43.2,0.0,5884,1101,43.2
2021-01-05,16631219,717454208,43.4,43.0,43.1,-0.1,5512,1101,43.25
2021-01-06,19007699,817300595,43.3,42.8,42.95,-0.15,7543,1101,43.1
2021-01-07,21050886,903047634,43.15,42.85,42.85,-0.1,8180,1101,42.95
2021-01-08,17406803,746290426,43.0,42.8,42.95,0.1,7092,1101,42.9
2021-01-11,12931584,554833283,43.1,42.75,43.1,0.15,4475,1101,42.85
2021-01-12,12308587,526908764,43.05,42.7,42.7,-0.4,5011,1101,43.0
2021-01-13,19069294,814058055,42.85,42.6,42.7,0.0,8481,1101,42.7
2021-01-14,20065858,854254306,42.8,42.45,42.55,-0.15,9445,1101,42.8
2021-01-15,30713520,1294481553,42.5,41.95,41.95,-0.6,12309,1101,42.5
2021-01-18,25218241,1047473930,41.95,41.4,41.6,-0.35,12722,1101,41.95
2021-01-19,12118298,506140365,42.0,41.6,41.75,0.15,5920,1101,41.6
2021-01-20,35184150,1443512413,41.7,40.8,40.95,-0.8,17720,1101,41.65
2021-01-21,17924123,733949569,41.15,40.8,40.8,-0.15,9025,1101,41.0
2021-01-22,28591283,1160115848,40.8,40.5,40.6,-0.2,12782,1101,40.75
2021-01-25,20825228,851569715,41.1,40.6,40.9,0.3,7500,1101,40.65
2021-01-26,35437633,1433392327,40.9,40.2,40.35,-0.55,16353,1101,40.7
2021-01-27,17017733,687706026,40.7,40.35,40.35,0.0,9277,1101,40.4
2021-01-28,22411197,903138507,40.6,40.2,40.25,-0.1,12318,1101,40.25
2021-01-29,20902501,841415228,40.45,40.15,40.15,-0.1,8346,1101,40.25
2021-02-01,11796904,480094851,40.95,40.3,40.8,0.65,5469,1101,40.3
2021-02-02,19228013,786791701,41.15,40.65,40.75,-0.05,7404,1101,40.95
2021-02-03,24925042,1011154517,40.9,40.5,40.55,-0.2,9528,1101,40.8
2021-02-04,17917913,725268583,40.65,40.4,40.4,-0.15,6810,1101,40.5
2021-02-05,13267133,540126833,40.9,40.55,40.85,0.45,5814,1101,40.55
2021-02-17,24248267,995895623,41.3,40.8,41.25,0.4,10591,1101,41.0
2021-02-18,19542360,810266027,41.65,41.2,41.35,0.1,7311,1101,41.25
2021-02-19,16913305,698623936,41.65,41.05,41.6,0.25,7426,1101,41.35
2021-02-22,23412037,979301542,42.1,41.55,41.8,0.2,8906,1101,41.7
2021-02-23,26550808,1124467897,42.6,42.0,42.45,0.65,10867,1101,42.0
2021-02-24,19312353,822265834,42.9,42.4,42.55,0.1,6981,1101,42.8
2021-02-25,15132154,646991953,42.9,42.6,42.9,0.35,6221,1101,42.8
2021-02-26,32005798,1351588255,42.7,42.0,42.0,-0.9,10051,1101,42.7
2021-03-02,21420625,906927040,42.5,42.1,42.1,0.1,6796,1101,42.25
2021-03-03,18135047,769759407,42.6,42.25,42.55,0.45,5415,1101,42.4
2021-03-04,19801467,838685338,42.55,42.15,42.5,-0.05,6972,1101,42.55
2021-03-05,9262307,392707343,42.5,42.05,42.5,0.0,3296,1101,42.15
2021-03-08,29090035,1178550422,42.9,42.55,42.65,0.15,5849,1101,42.6
2021-03-09,24736825,1065107252,43.4,42.8,43.4,0.75,11262,1101,42.9
2021-03-10,23663072,1018547236,43.4,42.9,43.0,-0.4,10925,1101,43.4
2021-03-11,22296062,958151923,43.2,42.85,42.85,-0.15,8472,1101,43.15
