date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2021-01-04,4783009,206133130,43.4,42.85,43.0,-0.2,2287,1102,43.15
2021-01-05,6152717,264578928,43.2,42.85,43.0,0.0,2885,1102,42.95
2021-01-06,5573415,239877920,43.2,42.9,43.15,0.15,2036,1102,42.95
2021-01-07,7361995,319987332,43.8,43.2,43.25,0.1,2792,1102,43.3
2021-01-08,4414294,191078930,43.45,43.05,43.45,0.2,2144,1102,43.3
2021-01-11,4057304,175080910,43.5,43.0,43.25,-0.2,1923,1102,43.5
2021-01-12,4323227,185722448,43.15,42.8,42.9,-0.35,1599,1102,43.05
2021-01-13,5084070,217996185,43.0,42.8,42.9,0.0,1762,1102,42.85
2021-01-14,7091380,302362798,43.0,42.5,42.55,-0.35,3358,1102,43.0
2021-01-15,11756995,493407434,42.5,41.75,41.8,-0.75,5571,1102,42.4
2021-01-18,7313914,303804707,41.9,41.35,41.85,0.05,3116,1102,41.8
2021-01-19,3123014,131330166,42.2,41.9,42.15,0.3,1463,1102,42.0
2021-01-20,8679192,358687006,41.9,41.05,41.45,-0.7,4506,1102,41.85
2021-01-21,5893568,242863089,41.55,41.05,41.05,-0.4,3158,1102,41.55
2021-01-22,8216525,334270617,41.15,40.5,40.75,-0.3,4206,1102,41.1
2021-01-25,4624583,188756304,41.15,40.55,40.85,0.1,2308,1102,40.75
2021-01-26,5068031,205728281,41.0,40.45,40.55,-0.3,2695,1102,40.9
2021-01-27,5252960,210653734,40.7,40.5,40.5,-0.05,2264,1102,40.55
2021-01-28,7486143,302509835,40.95,40.15,40.35,-0.15,4294,1102,40.6
2021-01-29,6818774,274037611,40.45,40.0,40.0,-0.35,3002,1102,40.25
2021-02-01,3072882,124302203,40.65,40.1,40.45,0.45,2125,1102,40.4
2021-02-02,5507097,224173321,40.95,40.45,40.8,0.35,3787,1102,40.55
2021-02-03,3928622,160710356,41.05,40.55,41.05,0.25,1750,1102,40.8
2021-02-04,2964325,120825038,40.95,40.65,40.7,-0.35,1553,1102,40.75
2021-02-05,3187842,130190838,41.0,40.65,40.9,0.2,1640,1102,40.75
2021-02-17,8853181,363987247,41.45,40.5,41.15,0.25,4481,1102,41.0
2021-02-18,6209090,256453445,41.5,41.05,41.25,0.1,3363,1102,41.05
2021-02-19,9266283,382286281,41.8,40.95,41.8,0.55,4392,1102,41.3
2021-02-22,15611185,662905611,43.05,41.7,42.75,0.95,5813,1102,41.9
2021-02-23,8834937,379305092,43.1,42.55,43.0,0.25,3802,1102,43.0
2021-02-24,7303032,313940246,43.2,42.85,43.0,0.0,3094,1102,43.1
2021-02-25,5086117,219904403,43.35,43.0,43.3,0.3,2334,1102,43.0
2021-02-26,13631675,581485466,43.1,42.25,42.65,-0.65,4204,1102,43.1
2021-03-02,7418493,317959345,43.2,42.5,42.5,-0.15,3374,1102,43.1
2021-03-03,9027547,389350491,43.3,42.8,43.1,0.6,3446,1102,43.1
2021-03-04,6725272,288519277,43.25,42.65,43.2,0.1,3433,1102,43.2
2021-03-05,3948598,169957315,43.2,42.7,43.15,-0.05,1579,1102,42.75
2021-03-08,6823276,296453687,43.8,43.15,43.45,0.3,2479,1102,43.25
