date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2025-01-02,45045125,47883206644,1075.0,1055.0,1065.0,-10.0,74997,2330,1070.0
2025-01-03,31244211,33728652860,1085.0,1075.0,1075.0,10.0,28227,2330,1080.0
2025-01-06,77874801,86585128825,1125.0,1095.0,1125.0,50.0,130021,2330,1100.0
2025-01-07,54691485,62664127156,1160.0,1130.0,1130.0,5.0,70657,2330,1150.0
2025-01-08,49181518,54760296689,1130.0,1105.0,1105.0,-25.0,71736,2330,1110.0
2025-01-09,29916198,33052210793,1115.0,1100.0,1100.0,-5.0,51544,2330,1100.0
2025-01-10,24475751,26996697889,1110.0,1100.0,1100.0,0.0,38027,2330,1100.0
2025-01-13,62629547,68093421797,1115.0,1070.0,1075.0,-25.0,118516,2330,1110.0
2025-01-14,31280235,33915048410,1090.0,1075.0,1090.0,15.0,32218,2330,1085.0
2025-01-15,37966582,40677529813,1085.0,1065.0,1065.0,-25.0,74906,2330,1085.0
2025-01-16,49872673,54934128041,1115.0,1090.0,1105.0,40.0,54389,2330,1095.0
2025-01-17,60857371,67663576840,1125.0,1095.0,1120.0,15.0,48829,2330,1125.0
2025-01-20,32062171,36076248367,1135.0,1120.0,1120.0,0.0,37780,2330,1125.0
2025-01-21,24368832,27256307475,1125.0,1110.0,1120.0,0.0,28262,2330,1115.0
2025-01-22,45996696,52510666410,1150.0,1135.0,1135.0,15.0,59434,2330,1140.0
2025-02-03,113031525,120769676393,1075.0,1060.0,1070.0,-65.0,247531,2330,1065.0
2025-02-04,57904652,63132252012,1100.0,1080.0,1095.0,25.0,59315,2330,1085.0
2025-02-05,43082532,47931709801,1120.0,1105.0,1110.0,15.0,51245,2330,1110.0
2025-02-06,33768196,37638807097,1120.0,1105.0,1115.0,5.0,32994,2330,1120.0
2025-02-07,31107545,34745052940,1125.0,1105.0,1125.0,10.0,35637,2330,1110.0
2025-02-10,31037109,34425517969,1125.0,1095.0,1105.0,-20.0,60839,2330,1125.0
2025-02-11,21023057,23294288731,1115.0,1100.0,1110.0,5.0,31837,2330,1110.0
2025-02-12,26190392,28966591975,1115.0,1100.0,1100.0,-10.0,38511,2330,1110.0
2025-02-13,35681521,38806197999,1095.0,1080.0,1090.0,-10.0,72456,2330,1090.0
2025-02-14,73417323,78100130074,1070.0,1060.0,1060.0,-30.0,218986,2330,1065.0
2025-02-17,37215861,40057489554,1085.0,1065.0,1085.0,25.0,57081,2330,1065.0
2025-02-18,24018940,26204727000,1100.0,1080.0,1100.0,15.0,30650,2330,1085.0
2025-02-19,28756849,31328641002,1095.0,1085.0,1090.0,-10.0,33952,2330,1090.0
2025-02-20,31108197,33537160793,1085.0,1070.0,1080.0,-10.0,43395,2330,1080.0
2025-02-21,31480715,34322859039,1095.0,1080.0,1095.0,15.0,29895,2330,1085.0
2025-02-24,33837606,36461265148,1085.0,1075.0,1075.0,-20.0,47924,2330,1080.0
