date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2019-01-02,3677226,125069106,34.4,33.6,33.8,-0.15,1556,1102,34.4
2019-01-03,3918403,132992602,34.15,33.75,33.9,0.1,2109,1102,33.95
2019-01-04,5283875,179121108,34.2,33.55,33.85,-0.05,2822,1102,33.85
2019-01-07,8647536,299604442,34.95,34.05,34.85,1.0,4425,1102,34.2
2019-01-08,4475825,155482475,34.95,34.5,34.65,-0.2,2480,1102,34.95
2019-01-09,11038923,387586383,35.25,34.8,35.25,0.6,4910,1102,34.95
2019-01-10,9719452,345339245,35.75,35.1,35.6,0.35,3911,1102,35.25
2019-01-11,11848282,426282486,36.15,35.65,36.0,0.4,4769,1102,35.75
2019-01-14,10987863,384519988,35.95,34.5,35.05,-0.95,5124,1102,35.8
2019-01-15,6784908,237209810,35.15,34.7,35.05,0.0,3639,1102,35.15
2019-01-16,6130344,216286672,35.55,34.9,35.5,0.45,3383,1102,35.0
2019-01-17,6139634,218070981,35.75,35.0,35.7,0.2,2758,1102,35.2
2019-01-18,8428083,303285413,36.2,35.6,36.15,0.45,3348,1102,35.8
2019-01-21,8682352,311915391,36.2,35.55,36.15,0.0,3502,1102,35.95
2019-01-22,4486056,160593189,36.0,35.65,35.8,-0.35,2357,1102,35.8
2019-01-23,6392048,229155565,36.0,35.55,36.0,0.2,3668,1102,35.8
2019-01-24,6596284,236903934,36.0,35.65,36.0,0.0,3698,1102,35.8
2019-01-25,8781080,316660530,36.25,35.7,36.2,0.2,3908,1102,35.8
2019-01-28,8567247,309744749,36.35,35.95,36.2,0.0,4679,1102,36.25
2019-01-29,10389797,371510224,36.0,35.15,36.0,-0.2,6405,1102,35.85
2019-01-30,9633122,349158012,36.6,35.65,36.45,0.45,5187,1102,36.0
2019-02-11,12349555,450671957,36.95,35.95,36.45,0.0,6800,1102,36.7
2019-02-12,9301127,345368808,37.35,36.25,37.3,0.85,4527,1102,36.45
2019-02-13,12503187,473484171,38.2,37.1,38.0,0.7,6702,1102,37.25
2019-02-14,8280537,314574710,38.2,37.5,38.0,0.0,4087,1102,37.55
2019-02-15,7513759,285110415,38.05,37.65,37.9,-0.1,4346,1102,37.65
2019-02-18,7025972,265972841,38.1,37.1,37.4,-0.5,3222,1102,38.0
2019-02-19,6763011,255739107,38.0,37.4,37.95,0.55,4012,1102,37.4
2019-02-20,12381905,472115302,38.35,37.6,38.35,0.4,4961,1102,38.0
2019-02-21,12821758,496478492,39.2,38.05,38.85,0.5,6876,1102,38.05
2019-02-22,8719290,336001856,38.85,38.3,38.85,0.0,5463,1102,38.85
2019-02-25,17576053,673211636,38.75,37.65,37.85,-1.0,6436,1102,38.55
2019-02-26,13671823,528185327,38.9,37.95,38.6,0.75,6056,1102,37.95
2019-02-27,8016088,310910932,39.0,38.2,38.8,0.2,3699,1102,38.7
2019-03-04,8279937,316411625,38.6,37.8,38.25,-0.55,4690,1102,38.5
2019-03-05,3601636,137368630,38.35,37.9,38.2,-0.05,1943,1102,38.05
2019-03-06,4111006,157217720,38.5,38.0,38.4,0.2,2313,1102,38.2
2019-03-07,4566230,175191454,38.6,38.05,38.15,-0.25,1995,1102,38.05
2019-03-08,5324718,201926934,38.1,37.75,38.0,-0.15,2557,1102,38.0
2019-03-11,6239136,236243267,38.2,37.55,37.95,-0.05,3150,1102,38.0
2019-03-12,6113310,234030318,38.5,37.8,38.35,0.4,3013,1102,38.0
2019-03-13,7151425,277540507,39.0,38.15,38.9,0.55,3044,1102,38.35
2019-03-14,5964429,232224373,39.15,38.55,38.9,0.0,3496,1102,38.55
2019-03-15,13972493,544285965,39.15,38.6,39.0,0.1,2849,1102,38.75
2019-03-18,22744389,861713765,39.0,37.6,37.65,-1.35,8353,1102,38.95
2019-03-19,12597196,477617748,38.15,37.5,38.0,0.35,6116,1102,37.5
2019-03-20,8050740,305204670,38.15,37.75,38.0,0.0,4064,1102,37.8
2019-03-21,16124722,630128210,39.9,38.0,39.5,1.5,6971,1102,38.05
2019-03-22,13709179,542047491,40.15,38.9,39.5,0.0,7398,1102,39.9
2019-03-25,12354720,488773533,40.0,39.0,40.0,0.5,4532,1102,39.0
2019-03-26,12335725,488151101,40.0,39.05,40.0,0.0,5090,1102,40.0
2019-03-27,13970147,549744162,39.9,39.15,39.4,-0.6,6214,1102,39.9
2019-03-28,14454162,574445769,40.0,39.25,39.85,0.45,6282,1102,39.25
2019-03-29,10717145,427235522,40.1,39.35,40.1,0.25,4783,1102,39.75
2019-04-01,14565291,589681557,40.85,40.15,40.5,0.4,5129,1102,40.4
2019-04-02,12960886,533037676,41.4,40.65,41.25,0.75,4629,1102,40.85
2019-04-03,6428716,265058031,41.5,40.85,41.3,0.05,3514,1102,41.5
2019-04-08,9043882,372915784,41.4,41.0,41.3,0.0,4152,1102,41.3
2019-04-09,7232499,298358718,41.35,41.1,41.3,0.0,3960,1102,41.3
2019-04-10,10239960,422751488,41.5,41.05,41.3,0.0,3503,1102,41.05
2019-04-11,11793629,491209649,42.2,41.3,41.65,0.35,4333,1102,41.5
2019-04-12,5681164,235738384,41.85,41.3,41.65,0.0,2779,1102,41.6
2019-04-15,5966200,248728791,41.9,41.55,41.65,0.0,2398,1102,41.6
2019-04-16,6243665,259666696,41.75,41.3,41.75,0.1,2237,1102,41.6
2019-04-17,6284674,261828385,41.8,41.55,41.6,-0.15,2593,1102,41.7
2019-04-18,9754301,402636867,41.65,40.95,41.15,-0.45,3683,1102,41.6
2019-04-19,2718947,112098350,41.45,41.0,41.4,0.25,1180,1102,41.2
2019-04-22,10662696,434668590,41.4,40.5,40.6,-0.8,3216,1102,41.4
2019-04-23,10449736,422640197,40.75,40.2,40.5,-0.1,2962,1102,40.65
2019-04-24,6977413,285431348,41.3,40.6,40.9,0.4,3034,1102,40.75
2019-04-25,3690803,150999977,41.0,40.7,41.0,0.1,1462,1102,40.85
2019-04-26,6012303,245336481,41.1,40.55,41.1,0.1,2706,1102,40.6
2019-04-29,4543660,188333243,41.55,41.05,41.5,0.4,2288,1102,41.05
2019-04-30,4518916,188102946,41.75,41.4,41.75,0.25,1688,1102,41.65
2019-05-02,7532966,316105006,42.1,41.5,42.05,0.3,3076,1102,41.55
2019-05-03,3344330,141338292,42.4,41.95,42.35,0.3,1479,1102,42.0
2019-05-06,4896691,204002296,41.95,41.5,41.6,-0.75,2239,1102,41.7
2019-05-07,6887577,288343569,42.1,41.5,42.1,0.5,2590,1102,41.65
2019-05-08,4004478,168758326,42.45,41.8,42.05,-0.05,2156,1102,41.9
2019-05-09,4913804,205862045,42.1,41.65,41.85,-0.2,2228,1102,41.8
2019-05-10,5860785,244519841,42.1,41.4,41.7,-0.15,2251,1102,41.8
2019-05-13,3856850,160048828,41.9,41.25,41.4,-0.3,1650,1102,41.75
2019-05-14,9462521,385871247,41.05,40.4,41.0,-0.4,4655,1102,41.0
