date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2026-01-02,29722691,683846695,23.35,22.8,23.0,-0.2,9609,1101,23.35
2026-01-05,30457336,704276350,23.3,23.0,23.1,0.1,8166,1101,23.0
2026-01-06,31146907,714907758,23.2,22.85,23.0,-0.1,7874,1101,23.15
2026-01-07,35146804,820947683,23.65,22.95,23.65,0.65,10272,1101,23.0
2026-01-08,25959232,610301363,23.9,23.35,23.45,-0.2,7854,1101,23.7
2026-01-09,31771801,747523530,23.65,23.35,23.65,0.2,7163,1101,23.5
2026-01-12,98217134,2410810272,25.1,23.8,24.95,1.3,29471,1101,23.85
2026-01-13,64624902,1612747450,25.4,24.7,24.95,0.0,21408,1101,25.4
2026-01-14,64398130,1624089407,25.8,24.8,24.95,0.0,23076,1101,25.25
2026-01-15,38299483,961772356,25.6,24.85,25.0,0.05,12424,1101,25.0
2026-01-16,36085550,904692367,25.3,24.9,25.0,0.0,10166,1101,25.25
2026-01-19,80518853,2093568083,26.45,24.9,26.2,1.2,25003,1101,25.0
2026-01-20,55434484,1428625636,26.25,25.45,25.85,-0.35,18018,1101,26.25
2026-01-21,57836785,1503835755,26.45,25.5,26.15,0.3,15383,1101,25.75
2026-01-22,90156406,2323803362,26.7,25.2,25.7,-0.45,24375,1101,26.25
2026-01-23,37548860,967626122,25.95,25.6,25.7,0.0,10100,1101,25.9
2026-01-26,43873630,1146900024,26.4,25.65,26.25,0.55,13966,1101,25.7
2026-01-27,40314054,1059441956,26.95,25.95,26.05,-0.2,12297,1101,26.5
2026-01-28,33189771,872561370,26.45,25.85,26.35,0.3,9786,1101,26.1
2026-01-29,41662819,1107641185,26.85,26.3,26.5,0.15,15359,1101,26.35
2026-01-30,41304969,1090361200,26.75,26.1,26.4,-0.1,10611,1101,26.5
2026-02-02,48157632,1247805324,26.25,25.7,25.9,-0.5,12666,1101,26.25
2026-02-03,33361977,857757378,26.15,25.55,25.6,-0.3,10175,1101,26.1
2026-02-04,18997135,490579888,26.0,25.4,25.8,0.2,5046,1101,25.5
2026-02-05,27607504,713014802,26.1,25.65,25.7,-0.1,5697,1101,25.8
2026-02-06,27178122,689750868,25.75,25.25,25.35,-0.35,6998,1101,25.7
2026-02-09,20271178,515594924,25.7,25.35,25.4,0.05,6684,1101,25.55
2026-02-10,14195611,360311209,25.65,25.2,25.5,0.1,5265,1101,25.45
2026-02-11,23085917,597686422,26.1,25.55,25.8,0.3,9232,1101,25.6
2026-02-23,30552513,796540029,26.3,25.7,26.1,0.3,10908,1101,25.95
2026-02-24,27392898,721641935,26.5,26.1,26.45,0.35,9658,1101,26.1
2026-02-25,24756817,655530459,26.65,26.25,26.55,0.1,9353,1101,26.45
2026-02-26,35021019,921146297,26.5,26.05,26.4,-0.15,8646,1101,26.4
2026-03-02,24710421,650298614,26.5,26.05,26.35,-0.05,8341,1101,26.1
2026-03-03,34839225,903652500,26.4,25.55,25.9,-0.45,10819,1101,26.35
2026-03-04,50254250,1258535161,25.45,24.8,25.0,-0.9,13179,1101,25.4
2026-03-05,50595969,1254590358,25.3,24.4,24.8,-0.2,13136,1101,25.2
2026-03-06,19804652,495234086,25.25,24.55,25.15,0.35,6381,1101,24.65
2026-03-09,43390757,1047487111,24.6,23.85,24.3,-0.85,13016,1101,24.35
2026-03-10,22193372,540201155,24.8,24.1,24.25,-0.05,8084,1101,24.65
2026-03-11,21688647,536723849,25.1,24.35,25.0,0.75,9369,1101,24.45
2026-03-12,25003683,624635728,25.2,24.6,25.1,0.1,12698,1101,24.9
